0
0
False
0 0
0,33 4,02906435713663
0,66 7,37513117358174
0,99 9,47098304994745
1,32 9,96133609143172
1,65 8,76306680043863
1,98 6,07930297694604
2,31 2,36498997023731
2,64 -1,75023058975261
2,97 -5,56875616488168
3,3 -8,44327925501997
3,63 -9,88651744737908
3,96 -9,65381638833287
4,29 -7,78462301567061
4,62 -4,59579860621548
4,95 -0,627905195293904
5,28 3,44642923174436
5,61 6,93653305812737
5,94 9,25077206834419
6,27 9,99684189283303
6,6 9,04827052466071
6,93 6,56585755753054
7,26 2,97041581577168
7,59 -1,12856384873335
7,92 -5,03623201635625
8,25 -8,0901699437485
8,58 -9,77268123568157
8,91 -9,79855052384283
9,24 -8,16339250717295
9,57 -5,14439533781679
9,9 -1,25333233564512
10,23 2,85019262469766
10,56 6,47055961569271
10,89 8,99405251566267
11,22 9,9928947264058
11,55 9,29776485888345
11,88 7,02649969799036
12,21 3,56411878713504
12,54 -0,502443181794891
12,87 -4,48383216089774
13,2 -7,705132427756
13,53 -9,62027671586002
13,86 -9,90461425696695
14,19 -8,50994481794862
14,52 -5,67268949127031
14,85 -1,87381314586063
15,18 2,24270760949038
15,51 5,9790498305723
15,84 8,70183754669344
16,17 9,94951016981266
16,5 9,51056516295239
16,83 7,45941145424323
17,16 4,14375580993419
17,49 0,125660398834344
17,82 -3,91373666837185
18,15 -7,28968627421444
18,48 -9,42990535892901
18,81 -9,97158900260601
19,14 -8,8229122643484
19,47 -6,17859613090093
19,8 -2,48689887164496
